depth,layer,datatype,name,fill_color,frame_color,frame_brightness,fill_brightness,dither_pattern,valid,visible,transparent,width,marked,animation
1,2,0,2/0 TrenchShallow,#80a8ff,#80a8ff,0,0,I0,true,true,true,,false,0
1,1,0,1/0 WaveguideShallow,#000080,#000080,48,48,I0,true,true,true,,false,0
1,4,0,4/0 TrenchDeep,#ff9d9d,#ff9d9d,96,96,I0,true,true,true,1,false,0
1,3,0,3/0 WaveguideDeep,#800080,#800080,160,160,I0,true,true,true,,false,0
1,10,0,10/0 Metal DC,#ffea00,#ffea00,128,128,I0,true,true,true,1,false,0
1,11,0,11/0 Metal RF,#ff8000,#ff8000,112,112,I0,true,true,true,1,false,0
1,20,0,20/0 Building Block,#808080,#404040,0,0,I1,true,true,true,2,false,0
1,21,0,21/0 Documentation,#808080,#808080,128,128,I0,true,true,true,,false,0
1,25,0,25/0 DiceArea,#9580ff,#9580ff,0,0,I2,true,true,true,1,false,0
1,500,0,500/0 Annotations,#8086ff,#8086ff,0,0,I0,true,false,false,,false,0
1,501,0,501/0 Annotations Arrows,#ff80a8,#ff80a8,0,0,I1,true,true,false,3,false,0
1,502,0,502/0 Annotations IOs,#000000,#000000,0,0,I0,true,true,false,1,false,0
1,511,0,511/0 Coating HR,#718fa5,#718fa5,0,0,I12,true,true,false,0,false,0
1,512,0,512/0 Coating AR,#ffffff,#ffffff,0,0,I14,true,true,false,1,false,0
1,513,0,513/0 Coating NO,#ff0000,#ff0000,0,0,I14,true,true,false,0,false,0
1,514,0,514/0 Coating DC,#5ada69,#5ada69,0,0,I12,true,true,false,0,false,0
1,515,0,515/0 Fiber Area,#80a8ff,#80a8ff,192,192,I12,true,true,false,0,false,0
1,1001,0,1001/0 unknown layers,#ff0000,#ff0000,0,0,I15,true,true,false,1,false,0
1,1111,0,1111/0 mamba polyline,#01ff6b,#01ff6b,0,0,I0,true,true,false,1,false,0
1,1002,0,1002/0 template pin,#808080,#808080,0,0,I12,true,true,false,0,false,0
1,1003,0,1003/0 Bbox pin,#008050,#008050,0,0,I4,true,true,false,2,false,0
