xsection,layer_name,growx,growy,origin
Shallow,Shallow,0,0,nazca
Shallow,ShallowTrench,8,0,nazca
ShallowStub,ShallowStub,0,0,nazca
ShallowStub,ShallowTrenchStub,8,0,nazca
,,,,
Deep,Deep,0,0,nazca
Deep,DeepTrench,20,0,nazca
DeepStub,DeepStub,0,0,nazca
DeepStub,DeepTrenchStub,20,0,nazca
,,,,
Active,Active,0,0,nazca
,,,,
MetalDC,MetalDC,0,0,nazca
MetalDCStub,MetalDCStub,0,0,nazca
,,,,
MetalRF,MetalRF,0,0,nazca
MetalRFStub,MetalRFStub,0,0,nazca
,,,,
BB,BB,0,0,nazca
,,,,
Cell_Boundary,DiceArea,0,0,nazca
CellStub,IOLogic,0,0,nazca
